Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,5.96999979019165,6.050000190734863,5.909999847412109,5.925000190734863,5.8541579246521,571937
2024-01-03,5.909999847412109,5.940000057220459,5.804999828338623,5.804999828338623,5.735592365264893,473477
2024-01-04,5.775000095367432,5.894999980926514,5.760000228881836,5.880000114440918,5.809695720672607,329645
2024-01-05,5.869999885559082,5.900000095367432,5.760000228881836,5.885000228881836,5.81463623046875,438535
2024-01-08,5.855000019073486,5.949999809265137,5.800000190734863,5.949999809265137,5.87885856628418,381576
2024-01-09,5.974999904632568,5.980000019073486,5.909999847412109,5.914999961853027,5.844277381896973,293253
2024-01-10,5.869999885559082,5.940000057220459,5.869999885559082,5.940000057220459,5.868978500366211,261977
2024-01-11,5.960000038146973,5.989999771118164,5.860000133514404,5.860000133514404,5.789935111999512,362040
2024-01-12,5.855000019073486,5.954999923706055,5.855000019073486,5.880000114440918,5.809695720672607,284319
2024-01-15,5.855000019073486,5.889999866485596,5.835000038146973,5.855000019073486,5.784994602203369,237239
2024-01-16,5.809999942779541,5.835000038146973,5.769999980926514,5.795000076293945,5.725712299346924,523528
2024-01-17,5.78000020980835,5.864999771118164,5.764999866485596,5.849999904632568,5.780054092407227,531886
2024-01-18,5.914999961853027,6.005000114440918,5.864999771118164,6.005000114440918,5.933201313018799,533772
2024-01-19,6.050000190734863,6.159999847412109,6.014999866485596,6.125,6.051766395568848,841945
2024-01-22,6.144999980926514,6.255000114440918,6.144999980926514,6.204999923706055,6.130809783935547,620740
2024-01-23,6.164999961853027,6.25,6.099999904632568,6.235000133514404,6.160451412200928,531716
2024-01-24,6.269999980926514,6.349999904632568,6.260000228881836,6.304999828338623,6.229613780975342,527368
2024-01-25,6.295000076293945,6.394999980926514,6.260000228881836,6.349999904632568,6.274075984954834,510765
2024-01-26,6.349999904632568,6.355000019073486,6.260000228881836,6.349999904632568,6.274075984954834,422350
2024-01-29,6.349999904632568,6.349999904632568,6.195000171661377,6.230000019073486,6.155510902404785,392927
